"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"18950","Valle Dorado 2","Licensed Store","Mexico","Tlalnepantla de Baz","State of Mexico","54020","Boulevard Manuel vila Camacho 3130, Tlalnepantla de Baz","[19.54928,-99.20925]","",""
"18970","Jurica","Licensed Store","Mexico","Santiago de Querétaro","Querétaro","76127","Av 5 De Febrero, Mexico City","[20.64924,-100.43220]","",""
"18978","Americas Ecatepec","Licensed Store","Mexico","Ecatepec de Morelos","State of Mexico","55076","CC Las Americas Av, Mexico City","[19.58347,-99.02389]","",""
"18959","Torre Mexicana","Licensed Store","Mexico","Mexico City","Mexico City","03103","Xola No535 Col Del, Mexico City","[19.39693,-99.16517]","",""
"18989","Torre Caballito","Licensed Store","Mexico","Mexico City","Mexico City","06030","Torre Del Caballito Paseo, Mexico City","[19.43608,-99.14941]","",""
"19058","Plaza Fiesta Anahuac","Licensed Store","Mexico","San Nicolás de los Garza","Nuevo Leon","66457","CC Plaza Fiesta Anahuac, Monterrey","[25.74216,-100.31385]","",""
"19061","Nima Bay","Licensed Store","Mexico","Puerto Vallarta","Jalisco","48335","CC Nima Bay Paseo, Puerto Vallarta","[20.66798,-105.24911]","",""
"20047","Ejercito Nacional","Licensed Store","Mexico","Mexico City","Mexico City","11520","Ejercito Nacional No 579, Mexico City","[19.43830,-99.19360]","",""
"20121","Medica Sur Tlalpan","Licensed Store","Mexico","Mexico City","Mexico City","14050","Medica Sur Torre De, Mexico City","[19.29755,-99.16072]","",""
"20112","Costa de Oro","Licensed Store","Mexico","Heroica Veracruz","Veracruz","94299","Blvd Ruiz Cortines No3289, Veracruz","[19.15273,-96.10750]","",""
"20113","Torres Lindavista","Licensed Store","Mexico","Mexico City","Mexico City","07700","Av Miguel Othon De Mendizabal, Mexico City","[19.50654,-99.14419]","",""
"20119","Forum Coatzacoalcos","Licensed Store","Mexico","Coatzacoalcos","Veracruz","96536","Av Universidad Km8 Col, Coatzacoalcos","[18.14029,-94.48766]","",""
"20120","Puebla Huexotitla","Licensed Store","Mexico","Puebla","Puebla","72534","Av 43 Oriente No, Puebla","[19.02753,-98.20801]","",""
"68274","Tijuana Airport Inside","Licensed Store","Mexico","Tijuana","Baja California","22420","S/N Col. Nueva Tijuana, Tijuana","[32.54154,-116.97559]","",""
"87029","Hospital Angeles Pedregal I","Licensed Store","Mexico","Mexico City","Mexico City","10700","Loc En El Hospital, Mexico City","[19.31286,-99.22102]","",""
"87022","Mexicali Centinela","Licensed Store","Mexico","Ciudad Nezahualcóyotl","State of Mexico","57185","Calle Calz Lopez Mateos, Mexicali","[19.45237,-99.04932]","",""
"87191","Urban Center Xalapa","Licensed Store","Mexico","Xalapa","Veracruz","52726","Av Lazaro Cardenas No, Xalapa","[19.56010,-96.92334]","",""
"87419","Altabrisa Tabasco","Licensed Store","Mexico","Villahermosa","Tabasco","86170","Periferico Carlos Pellicer Camara, Villahermosa","[17.96572,-92.94025]","",""
"87420","Patio Patria","Licensed Store","Mexico","Zapopan","Jalisco","45116","Paseo Del Rotal No, Guadalajara","[20.70533,-103.41471]","",""
"87427","Macroplaza Ensenada","Licensed Store","Mexico","Ensenada","Baja California","22832","Blvd Pedro Loyola No, Ensenada","[31.81955,-116.59897]","",""
"89392","El Rosario","Licensed Store","Mexico","Mexico City","Mexico City","02100","Av Rosario 1025 Col, Mexico City","[19.50285,-99.20375]","",""
"89625","Cd. Obregon","Licensed Store","Mexico","Ciudad Obregón","Sonora","85000","Av Jalisco No 920, Ciudad Obregon","[27.51316,-109.92826]","",""
"94438","Plaza America.","Licensed Store","Mexico","Mexico City","Mexico City","04980","Benito Juarez No 117, Mexico City","[19.31276,-99.13633]","",""
"113385","Palomar","Licensed Store","Mexico","La Tijera","Jalisco","45643","Av Lopez Mateos No, Tlajomulco","[20.58946,-103.44318]","",""
"113399","Outlet Leon","Licensed Store","Mexico","Leon","Guanajuato","37295","Blvd Apto No 843, Leon","[21.08575,-101.61450]","",""
"113296","Zentralia Churubusco","Licensed Store","Mexico","Mexico City","Mexico City","09420","Av Rio Churubusco No, Mexico City","[19.37865,-99.10218]","",""
"113389","Satelite Centro Civico","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","53100","Circuito Medicos No45 Cd, Mexico City","[19.50877,-99.22956]","",""
"116391","Dorado Veracruz","Licensed Store","Mexico","Residencial el Dorado","Veracruz","94290","Paso Del Toro Boca, Veracruz","[19.09401,-96.10475]","",""
"116344","Madero","Licensed Store","Mexico","Mexico City","Mexico City","06000","Motolinea No 25 Esq, Mexico City","[19.43377,-99.13680]","",""
"116402","Urban Center Juriquilla","Licensed Store","Mexico","Juriquilla","Querétaro","76230","Av Jurica La Campana, Queretaro","[20.70604,-100.44447]","",""
"1005322","La Paz Soriana","Licensed Store","Mexico","La Paz","Baja California Sur","23080","Calz Forjadores De Sud, La Paz","[24.12578,-110.31335]","",""
"1005336","Biblioteca Tec","Licensed Store","Mexico","Mexico City","Mexico City","14380","Calle Puente 222, San Bartolo El Chico","[19.28431,-99.13516]","",""
"1005316","Forum Buenavista","Licensed Store","Mexico","Mexico City","Mexico City","06350","Eje 1 Norte Mosqueta, Mexico","[19.45087,-99.15151]","",""
"1005420","Pabellon Cuemanco","Licensed Store","Mexico","Mexico City","Mexico City","14330","Canaverales No222 Col Granjas, Mexico","[19.29549,-99.10819]","",""
"1005997","Patio Ecatepec","Licensed Store","Mexico","Ecatepec de Morelos","State of Mexico","55000","Av Revolucion Sn Col, San Cristobal Centro, EDO MEX","[19.60628,-99.04593]","",""
"1006006","Paseo Chapultepec Tijuana","Licensed Store","Mexico","Tijuana","Baja California","22020","Fracc Neidhart No10387 Loc, Tijuana","[32.51397,-117.01230]","",""
"1005985","Insurgentes WTC -","Licensed Store","Mexico","Mexico City","Mexico City","03103","Montecitos N38 Col Napoles, Mexico City","[19.39398,-99.17270]","",""
"1005996","Aeropuerto Tijuana II","Licensed Store","Mexico","Tijuana","Baja California","22420","Carretera Apto Sn Col, TIJUANA","[32.54127,-116.97854]","",""
"1006005","Magma Towers","Licensed Store","Mexico","San Pedro Garza García","Nuevo Leon","66260","Frida Kahlo N 194, Monterrey","[25.64787,-100.32571]","",""
"1006403","Celaya Campestre","Licensed Store","Mexico","Celaya","Guanajuato","38080","Blvd Adolfo Lopez Mateos, Celaya","[20.51768,-100.79063]","",""
"1006475","Miguel Aleman Monterrey","Licensed Store","Mexico","Ciudad Apodaca","Nuevo Leon","66600","Carretera Miguel Aleman 250, Nuevo Leon","[25.74534,-100.20351]","",""
"1006478","Tuxtla II DT","Licensed Store","Mexico","Tuxtla Gutiérrez","Chiapas","29040","Blvd  Juan Pablo, Tuxtla Gutierrez","[16.75200,-93.07670]","",""
"1006484","Quinta Alegria","Licensed Store","Mexico","Playa del Carmen","Quintana Roo","77710","Manzana 34 Lotes 1, Can Cun","[20.62965,-87.07054]","",""
"1006544","Pabellon Polanco","Licensed Store","Mexico","Mexico City","Mexico City","11510","Modulo K12 Dentro Del, Mexico City","[19.43683,-99.20742]","",""
"1006531","Malecon Vallarta II","Licensed Store","Mexico","Puerto Vallarta","Jalisco","48350","Jesus Langarica 160-A Col, Puerto Vallarta","[20.61486,-105.23231]","",""
"1006539","Rio Hudson","Licensed Store","Mexico","Mexico City","Mexico City","06500","Loc B Ubicado En, Mexico","[19.42594,-99.17465]","",""
"1007459","Gran Terraza Oblatos","Licensed Store","Mexico","Guadalajara","Jalisco","44716","Av Circunvalacion 2770 Col, Guadalajara","[20.68795,-103.29653]","",""
"1008141","San Lorenzo","Licensed Store","Mexico","Mexico City","Mexico City","03200","Manzanas N 40 Col, Mexico","[19.37544,-99.17780]","",""
"1008088","Narvarte","Licensed Store","Mexico","Mexico City","Mexico City","03020","Palenque No 202 Col, DF","[19.38997,-99.15210]","",""
"1008145","City Shops Del Valle","Licensed Store","Mexico","Mexico City","Mexico City","03200","Felix Cuevas N 374, MEXICO","[19.37263,-99.17310]","",""
"1008147","Emerson","Licensed Store","Mexico","Mexico City","Mexico City","11560","Homero Loc Pb 503, DF","[19.43568,-99.18894]","",""
"1008244","One o One","Licensed Store","Mexico","Mexico City","Mexico City","05348","Av Juan Salvador Agraz, Mexico City","[19.35971,-99.27823]","",""
"1008208","Bosque de Aragon","Licensed Store","Mexico","Mexico City","Mexico City","07969","Av 510 No 340, Mexico","[19.46506,-99.08461]","",""
"1008209","Reynosa","Licensed Store","Mexico","Reynosa","Tamaulipas","88740","Blvd Hidalgo Km 101, Reynosa","[26.07349,-98.32167]","",""
"1008222","Plaza 505 Torreon","Licensed Store","Mexico","Torreón","Coahuila","27105","Carretera Torreon-San Pedro No, Torreon","[25.59467,-103.40480]","",""
"1009624","Lowes Culiacan","Licensed Store","Mexico","Culiacán","Sinaloa","80020","Blvd Jose Limon Lote, Culiacan","[24.81399,-107.41362]","",""
