"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"1007438","Forum Sujana","Joint Venture","India","Hyderabad","Telangana","500085","Upper Ground Floor, Forum Sujana Mall, Hyderabad","[17.48416,78.38930]","",""
"1032671","Sector 17 Vashi","Joint Venture","India","Navi Mumbai","Maharashtra","400703","Tanaji Malusare Marg, Navi Mumbai","[19.07201,72.99834]","",""
"1008782","T2 Mumbai Aiprot Departure","Joint Venture","India","Mumbai","Maharashtra","400099","T2 Departure SHA, Level P9, Mumbai","[19.09599,72.87547]","",""
"1008784","JP Nagar","Joint Venture","India","Bengaluru","Karnataka","560092","#15/16, LA Classic Building, 100 Feet Ri, Bangalore","[12.90601,77.59377]","",""
"1009750","FC Road","Joint Venture","India","Pune","Maharashtra","411004","Mosaic Ground Floor West, Pune","[18.52254,73.84124]","",""
"1009769","GVK One Mall","Joint Venture","India","Hyderabad","Telangana","500034","Lower Ground Floor, GVK One, Hyderabad","[17.41940,78.44847]","",""
"1010298","Phoenix MarketCity Mumbai","Joint Venture","India","Mumbai","Maharashtra","400070","First Floor, Phoenix Market City, Mumbai","[19.08638,72.88924]","",""
"1010299","Phoenix Tower","Joint Venture","India","Hyderabad","Telangana","500081","Upper Ground Floor, Phoenix tower A, Hyderabad","[17.44780,78.37897]","",""
"1011504","Express Avenue Mall","Joint Venture","India","Chennai","Tamil Nadu","600014","Ground Floor, Express Avenue Mall, Chennai","[13.05866,80.26407]","",""
"1015284","T3 Domestic Arrivals","Joint Venture","India","New Delhi","New Delhi","110037","IGI Airport, Delhi","[28.56657,77.12376]","",""
"1015283","One Horizon Center","Joint Venture","India","Gurugram","Haryana","122002","Golf Course Road, Gurgaon","[28.47567,77.09379]","",""
"1016345","Sangam Solitaire","Joint Venture","India","Pune","Maharashtra","411038","Sangam Solitaire, Ground Floor, Pune","[18.49885,73.82292]","",""
"1017237","Westend Mall","Joint Venture","India","Pune","Maharashtra","411067","Westend Mall, Harmony Society, Pune","[18.56680,73.80776]","",""
"1017223","Nesco Complex","Joint Venture","India","Mumbai","Maharashtra","400065","Ground Floor Lobby, IT Building 3, Mumbai","[19.16518,72.85836]","",""
"1017256","RMZ Ecoworld","Joint Venture","India","Bengaluru","Karnataka","560103","GF Food court building, Pritech E80 Park, Bangalore","[12.92543,77.68654]","",""
"1017760","BSR Building","Joint Venture","India","Chennai","Tamil Nadu","600097","OMR road, Chenai, Chennai","[12.94596,80.23937]","",""
"1018200","Victoria Mills","Joint Venture","India","Mumbai","Maharashtra","400013","Ground Fl, Smaash, Victoria Mills, Mumbai","[19.00385,72.82742]","",""
"1021492","Commerz II","Joint Venture","India","Mumbai","Maharashtra","400063","Off Western Express Highway, Mumbai","[19.17388,72.86045]","",""
"1021493","Acropolis Mall I","Joint Venture","India","Kolkata","West Bengal","700068","EM Bypass Road, Kolkata","[22.50169,88.36167]","",""
"1021487","South City Mall","Joint Venture","India","Kolkata","West Bengal","700068","Tollygunge, Kolkata","[22.50174,88.36165]","",""
"1021814","Jaya Nagar","Joint Venture","India","Bengaluru","Karnataka","560041","Jaya Nagar Main Road Bangalore, Bangalore","[12.92499,77.59372]","",""
"1021816","Churchgate","Joint Venture","India","Mumbai","Maharashtra","400020","Ram Mahal Building, Jamshedji Tata Road, Mumbai","[18.93112,72.82613]","",""
"1022155","Eurotech Shivaji Park","Joint Venture","India","Mumbai","Maharashtra","400028","Cadel Road, Mumbai","[19.02682,72.83889]","",""
"1022156","MG Road","Joint Venture","India","Bengaluru","Karnataka","560008","MG Road, Bangalore","[12.97271,77.61954]","",""
"1022319","City Center","Joint Venture","India","Kolkata","West Bengal","700064","Kolkata, Kolkata","[22.58828,88.40848]","",""
"1022704","T Nagar","Joint Venture","India","Chennai","Tamil Nadu","600017","T Nagar, Chennai","[13.04050,80.23369]","",""
"1023564","Forum Mall","Joint Venture","India","Kolkata","West Bengal","700020","10/3, Elgin Road, Kolkata","[22.53835,88.35111]","",""
"1023772","Vittal Mallya Road","Joint Venture","India","Bengaluru","Karnataka","560001","Bangalore, Bangalore","[12.97148,77.59550]","",""
"1023776","Turner Road, Bandra West","Joint Venture","India","Mumbai","Maharashtra","400050","Bandra West, Mumbai","[19.05961,72.83177]","",""
"1023787","The Corner - India","Joint Venture","India","Mumbai","Maharashtra","400103","Borivali  West, Mumbai","[19.24617,72.85089]","",""
"1023775","Basant Lok (PVR)","Joint Venture","India","New Delhi","New Delhi","110057","Basant Lok, Vasant Vihar, New Delhi","[28.55745,77.16452]","",""
"1024226","Westside Kala Ghoda","Joint Venture","India","Mumbai","Maharashtra","400001","Army Navy Building, Kala Ghoda, Mumbai","[18.93075,72.83308]","",""
"1024530","Palladium Chennai","Joint Venture","India","Egattur","Tamil Nadu","600130","600130, Egatoor, Chennai","[12.83554,80.22880]","",""
"1033038","Begumpet","Joint Venture","India","Hyderabad","Telangana","500016","Sardar Patel Rd, Begumpet, Hyderabad","[17.44439,78.46654]","",""
"1013351","Tian Star","Joint Venture","India","Mumbai","Maharashtra","400049","Grd Flr, Tian Star, 48 Gulmohar Road, Mumbai","[19.11331,72.83475]","",""
"1013432","Inorbit Mall, Malad","Joint Venture","India","Mumbai","Maharashtra","400104","Ground Floor, Inorbit Mall, Mumbai","[19.17269,72.83544]","",""
"1020122","32nd Milestone","Joint Venture","India","Gurugram","Haryana","122001","Sector 15, Gurugram, Gurugram","[28.46167,77.05000]","",""
"1020801","Runwal Greens - Mumbai","Joint Venture","India","Mumbai","Maharashtra","400080","Mulund Goregaon Link Road, Mumbai","[19.15986,72.94502]","",""
"1024765","Sector 22","Joint Venture","India","Chandigarh","Chandigarh","160022","Himalaya Marg, 22C, Chandigarh","[30.72980,76.77327]","",""
"1025968","Marriott, New Town","Joint Venture","India","New Town","West Bengal","700107","New Town, Kolkata","[22.57909,88.46847]","",""
"1026387","Mall of India 2","Joint Venture","India","Noida","Uttar Pradesh","201301","Plot No - M 03, Sector 18, Noida","[28.56743,77.32106]","",""
"1026455","Platina Gachibowli","Joint Venture","India","Hyderabad","Telangana","500032","Gachibowli, Hyderabad, Hyderabad","[17.44864,78.36331]","",""
"1043085","Ashok Nagar","Joint Venture","India","Chennai","Tamil Nadu","600083","34th Street, 4th Avenue, Ashok Nagar, Chennai","[13.04072,80.21502]","",""
"1052329","Add India Tower, Sector 125","Joint Venture","India","Noida","Uttar Pradesh","201313","Sector 125 Road, Noida","[28.54563,77.32869]","",""
"8556400","Science City Road","Joint Venture","India","Ahmedabad","Gujarat","380060","Science City Road, Daskroi","[23.07809,72.50372]","",""
